대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
유럽주,슬로바크,남성,5,0,14,0,0,0,0,0,5,0,1,0,0,0,1,1,0,1,0,0,0,1,2,4,0,0,0,0,1,0,0,1,2,0,0,0,0,0
유럽주,슬로바크,여성,4,0,17,0,0,0,0,0,24,0,4,0,2,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,5,0,0,0,4,0,0,0,0,1
유럽주,라트비아,남성,6,0,5,1,0,3,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
유럽주,라트비아,여성,3,1,11,0,0,0,1,0,23,0,3,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,1,6,0,2,11,1,0,0,0,2
유럽주,세르비아,남성,2,1,0,9,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,3,1,5,0,0,0,0,0,1,4,0,1,7,2,0,0,0,1
유럽주,세르비아,여성,1,0,0,10,0,0,0,0,9,0,3,0,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0,4,2,7,0,1,1,0,0,0,0,1
유럽주,에스토니아,남성,5,0,10,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
유럽주,에스토니아,여성,4,0,23,0,0,0,1,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,0,4,0,0,0,0,0
유럽주,슬로베니아,남성,7,0,0,10,0,0,2,0,4,0,0,1,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0
유럽주,슬로베니아,여성,3,0,0,11,0,0,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
유럽주,아르메니아,남성,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,2,0,7,1,0,0,0,0,0
유럽주,아르메니아,여성,0,1,0,0,0,2,0,0,15,0,5,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,4,4,5,0,2,6,1,0,0,0,0
유럽주,몰도바,남성,0,0,0,1,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,1,2,0,2,0,0,0,1,0,0
유럽주,몰도바,여성,0,0,0,0,0,0,1,0,7,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,11,0,0,0,0,1
유럽주,알바니아,남성,0,0,0,24,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
유럽주,알바니아,여성,0,2,0,6,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
유럽주,룩셈부르크,남성,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0
유럽주,룩셈부르크,여성,0,0,7,0,0,0,0,0,8,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0
유럽주,아이슬란드,남성,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
유럽주,아이슬란드,여성,0,0,10,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유럽주,몰타,남성,0,0,8,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
유럽주,몰타,여성,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
유럽주,몬테네그로,남성,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
유럽주,몬테네그로,여성,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
유럽주,북마케도니아,남성,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
유럽주,북마케도니아,여성,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
유럽주,보스니아-헤르체고비나,남성,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
유럽주,보스니아-헤르체고비나,여성,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,코소보,남성,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
유럽주,코소보,여성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,리히텐슈타인,남성,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,리히텐슈타인,여성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,산마리노,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,산마리노,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
유럽주,교황청,남성,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,유고슬라비아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유럽주,영국외지시민,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,안도라,여성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,스발바르,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
오세아니아주,오스트레일리아,남성,64,48,41,5370,0,25,0,0,42,0,1,2,3,8,32,9,7,22,113,11,16,9,26,90,0,0,0,35,45,53,1983,143,323,1,14,0,1,6
오세아니아주,오스트레일리아,여성,65,20,45,5655,0,15,1,0,68,0,19,0,4,0,10,1,2,8,172,0,0,0,10,42,0,0,0,17,15,92,2813,60,112,0,9,0,2,19
오세아니아주,뉴질랜드,남성,14,17,1353,2,0,7,0,0,6,0,1,1,2,2,15,1,2,16,64,2,4,7,3,20,0,0,0,5,16,20,1265,95,173,0,1,0,0,8
오세아니아주,뉴질랜드,여성,11,7,1301,3,0,7,0,0,8,0,4,0,0,1,2,0,0,7,82,0,0,0,0,23,0,0,0,8,14,16,1180,28,31,0,0,0,0,10
오세아니아주,피지,남성,8,3,0,13,0,2,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,16,0,3,0,0,0,0,0
오세아니아주,피지,여성,5,2,0,6,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,3,0,0,0,0,1
오세아니아주,마샬군도,남성,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
오세아니아주,마샬군도,여성,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
오세아니아주,바누아투,남성,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,2,0,0,0,0,0
오세아니아주,바누아투,여성,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
오세아니아주,파푸아뉴기니,남성,1,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
오세아니아주,파푸아뉴기니,여성,3,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
오세아니아주,솔로몬군도,남성,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
오세아니아주,솔로몬군도,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1
오세아니아주,팔라우,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
오세아니아주,팔라우,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
오세아니아주,미이크로네시아,여성,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
오세아니아주,사모아,남성,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,사모아,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
