구분,업체명,주소(임대면적),주생산품,투자국,입주허가일
울산,㈜코마스텍,"울산광역시 울주군 청량읍 처용산업3길 113 (11,056㎡)",냉간압연 및 압출제품 제조업,한국,2014-10-17
울산,㈜아이플랜트,"울산광역시 울주군 청량읍 처용산업3길 156 (12,357㎡)",설치용 금속탱크 및 저장용기 제조업,한국,2015-01-07
울산,㈜테라테크,"울산광역시 울주군 온산읍 처용산업로 104 (8,889.6㎡)",산업기계제조업,한국,2015-01-06
울산,㈜로길,"울산광역시 울주군 청량읍 처용산업3길 128 (6,600㎡)",주형 및 금형 제조업,한국,2015-01-14
울산,㈜대한,"울산광역시 울주군 청량읍 처용산업3길 74 (33,096.6㎡)",금속 캔 및 기타포장용기제조업,한국,2015-04-15
울산,㈜티엠이씨,"울산광역시 울주군 청량읍 처용산업5길 69 (4,495.7㎡)",증류기 열교환기 및 가스발생기 제조업,태국,2015-04-20
울산,대륙금속㈜,"울산광역시 울주군 청량읍 용암리 944 (25,597㎡)",자동차 차체용 부품 제조업,한국,2015-09-10
울산,피에스씨㈜,"울산광역시 울주군 온산읍 처용산업3길 30-36 (9,900㎡)",배관스풀 제조업,한국,2015-11-19
울산,㈜코디마,"울산광역시 울주군 온산읍 처용산업3길 30-5 (8,980.6㎡)","자동차용 배기장치 제조업,주형 및 금형 제조업",한국,2014-05-20
울산,㈜울프,"울산광역시 울주군 온산읍 처용산업3길 30-36 (24,696.21㎡)",증류기 열교환기 및 가스발생기 제조업,한국,2016-09-01
울산,㈜케이디텍인더스트리,"울산광역시 울주군 온산읍 처용산업3길 31,처용산업5길 7-5 (25,235.1㎡)",육상 금속 골조 구조재,필리핀,2019-07-05
울산,㈜드림엔지니어링,"울산광역시 울주군 온산읍 처용산업3길 30-37 (6,607㎡)","특수목적용 산업기계 제조, 금속탱크 및 저장용기 제조",한국,2020-09-25
울산,㈜신화엠텍,"울산광역시 울주군 온산읍 처용산업3길 45 (18,053.4㎡)","열교환기, 압력용기제조",한국,2021-06-03
울산,㈜네오그린,"울산광역시 울주군 청량읍 처용산업 3길 135 경공업2동 4층 일부 (1,798.31㎡)",기타무선장비제조업,미국,2015-04-16
울산,대경MC㈜,"울산광역시 울주군 청량읍 처용산업 3길 135 중공업동 1층 일부 (1,947.73㎡)",금속 조립 구조제 제조업,한국,2015-05-14
울산,㈜영광,"울산광역시 울주군 청량읍 처용산업 3길 135 경공업1동 1층 (3,341.59㎡)",일반 목적용 기계 제조업,한국,2015-06-04
울산,피에스씨㈜,"울산광역시 울주군 청량읍 처용산업 3길 135 경공업2동 1층 일부, 중공업동 3층 일부 (6,517.4㎡)",배관스풀 제조업,한국,2015-11-19
울산,㈜금오산업,"울산광역시 울주군 청량읍 처용산업3길 135 경공업2동 3층 일부 (1,798.31㎡)",일반 조명 장치 제조업,싱가포르,2017-04-01
울산,㈜벨류체인,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 4층 일부 (1,798.31㎡)",유압 기기 제조업,한국,2017-08-01
울산,비엠에스파워,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 2층(1,798.3㎡)",플랜트 부품,한국,2020-02-24
울산,더원에너지㈜,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 3층(1,798.3㎡)","산업용 펌프, 테이프",한국,2020-04-11
울산,글로벌에코㈜,"울산광역시 울주군 청량읍 처용산업3길 135 중공업동 1,2,3층 일부(4235.6㎡)",선박 부품,한국,2020-05-18
울산,㈜신성엠엔에스,울산광역시 울주군 청량읍 처용산업3길 135 중공업동 2층(195.9㎡),배관 및 냉난방장치 도매업,한국,2020-05-26
울산,㈜피에스이에스,"울산광역시 울주군 청량읍 용암리 980(15,838.4㎡)",기타물품취급장비,미국,2020-07-03
울산,㈜마린이노베이션,"울산광역시 울주군 청량읍 처용산업3길 135 경공업2동 2층 일부(1,798.3㎡)",기타종이 및 판지제품 제조업,한국,2020-09-15
울산,피엠더블유㈜,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 2층 일부(1,798.3㎡)",검체채취용면봉,한국,2021-04-16
울산,인프로이엔씨㈜,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 3층 일부(1,798.3㎡)",금속가공제품,한국,2021-07-14
울산,㈜랩시스텍,"울산광역시 울주군 청량읍 처용산업3길 135 경공업2동 2층 일부(1,798.3㎡)","방역, 무인시스템",한국,2022-06-01
울산,㈜프록시헬스케어,"울산광역시 울주군 청량읍 처용산업3길 135 경공업2동 3층 일부(1,798.3㎡)",비 및 솔 제조업,한국,2021-08-01
울산,㈜오케이티앤티,"울산광역시 울주군 청량읍 처용산업3길 135 경공업1동 2층 일부(1,798.3㎡)",선박구성부분품 제조업,한국,2022-12-28
김제,한국구보다(주),"전라북도 김제시 백산면 자유무역길 41-27 (33,058.7㎡)",농기계,일본,2013-02-12
김제,㈜카셈,"전라북도 김제시 백산면 자유무역2길 45-87 (9,900.3㎡)",특장차,국내,2014-03-25
김제,㈜알루뱅크,"전라북도 김제시 백산면 자유무역2길 45-12 (9,900.3㎡)",알루미늄 잉고트,미국,2015-02-24
김제,㈜알룩스,"전라북도 김제시 백산면 자유무역2길 45-22 (49,587.60㎡)",알루미늄 휠,미국,2015-03-31
김제,㈜신양에스아이디,"전라북도 김제시 백산면 자유무역1길 101-9 (16,530.6㎡)",플라스틱 필름,중국,2016-03-08
김제,브이디엠메탈즈코리아(주),"전라북도 김제시 백산면 자유무역길 195-20 C동 1층 (3,059.8㎡)",특수강,독일,2016-03-28
김제,㈜씨아이이에프,"전라북도 김제시 백산면 지평선산단1길 213-38 (53,428.8㎡)",곤충가공식품,미국,2016-07-13
김제,㈜세종산자,"전라북도 김제시 백산면 자유무역길 195-20 C동 2층 (1,529.9㎡)",섬유원사,캐나다,2016-08-31
김제,㈜엘에스지,"전라북도 김제시 백산면 자유무역2길 10 (9,917.8㎡)",플라스틱 패널,캐나다,2016-10-18
김제,(유)와이지에스,"전라북도 김제시 백산면 지평선산단1길 213-109(21,795.3㎡)",곡물용 컨테이너,중국,2016-12-20
김제,(유)와이에스이엔지,"전라북도 김제시 백산면 자유무역길 88-9 (11,877㎡)",환경설비,중국,2017-04-26
김제,(유)케이스틸,"전라북도 김제시 백산면 자유무역길 41-95 (10,552.6㎡)",태양광구조물,중국,2017-05-11
김제,(유)이엔비솔루션,"전라북도 김제시 백산면 자유무역길 41-83 (10,552.2㎡)",태양광구조물,중국,2017-07-06
김제,㈜이지컴퍼지트,"전라북도 김제시 백산면 자유무역길 195-20 B동 3층(2,149.5㎡)",탄소복합소재,중국,2017-09-11
김제,(유)원더스,"전라북도 김제시 백산면 자유무역1길 68-5 (13,223.6㎡)",철구조물,중국,2017-09-28
김제,㈜하이드로테크,"전라북도 김제시 백산면 자유무역2길 29 (13,224.8㎡)",태양광구조물,중국,2017-10-23
김제,㈜포엠,"전라북도 김제시 백산면 자유무역길 195-20 B동 1층(1,074.8㎡)",LED가로등,호주,2017-11-27
김제,(유)비제이산업,"전라북도 김제시 백산면 자유무역길 41-61 (21,108.3㎡)",금속탱크/특장차,중국,2018-02-13
김제,(유)그랜드썬,"전라북도 김제시 백산면 자유무역1길 92 (9,907.9㎡)",태양광구조물,중국,2018-03-13
김제,서해로프제강(주),"전라북도 김제시 백산면 자유무역2길 7 (10,001.3㎡)",로프,중국,2018-03-13
김제,(주)소리소,"전라북도 김제시 백산면 자유무역길 195-20 A동 3층 (6,089.22㎡)",화장품/마스크,국내,2018-06-01
김제,㈜이엔플러스,"전라북도 김제시 백산면 자유무역길 167 (14,974.8㎡)",특장차,국내,2018-07-05
김제,농업회사법인 (주)지원,"전라북도 김제시 백산면 지평선산단1길 213-102 (16,528.8㎡)",유기질비료,미국,2018-08-17
김제,㈜천조기술연구원,"전라북도 김제시 백산면 자유무역길 195-20 B동 5층 (2,149.5㎡)",전기난방기,국내,2019-04-29
김제,㈜세인스틸,"전라북도 김제시 백산면 자유무역길 200 (29,444.0㎡)",강관 및 복합강관,국내,2019-12-12
김제,㈜신성이엔지,"전라북도 김제시 백산면 자유무역길 195-20 B동 4층(8,510.46㎡)",태양광모듈,국내,2020-04-28
김제,㈜다흰,"전라북도 김제시 백산면 자유무역길 195-20 B동 2층 (2,149.48㎡)",마스크,국내,2020-07-02
김제,㈜호원이피에스,"전라북도 김제시 백산면 부거리 1577-4 (113,374.00㎡)",특장차,미국,2020-10-22
김제,이팩서율(유),"전라북도 김제시 백산면 자유무역길 195-20 C동 3층(3,059.76㎡)",친환경 연포장재,국내,2021-02-18
김제,에코광학㈜,"전라북도 김제시 백산면 자유무역길 195-20 C동 2층(1,529.8㎡)",광학 코팅제,국내,2021-04-30
김제,농업회사법인 하이테크팜㈜,"전라북도 김제시 백산면 자유무역길 195-20 B동 4층(2,149.5㎡)",스마트팜 기자재 등,국내,2021-06-11
김제,㈜티엠뱅크특장기술,"전라북도 김제시 백산면 부거리 1576-3(16,501.3㎡)",특장차,국내,2021-08-31
김제,랜드솔루션㈜,"전라북도 김제시 백산면 부거리1576 (51,325.90㎡)",기계,국내,2022-08-10
김제,㈜백제중공업,"전라북도 김제시 백산면 부거리 1576-6)16,498.20㎡)",기계,국내,2022-10-21
김제,㈜지엔,"전라북도 김제시 백산면 부거리 1581-3(13,266.60㎡)",운송장비,국내,2022-10-25
김제,㈜웰바이오텍피디알엔,"전라북도 김제시 백산면 자유무역길 195-20 A동 5층 (3,044.61㎡)",석유화학,미국,2022-12-02
김제,미래클,"전라북도 김제시 백산면 부거리 1580-4(15,485.40㎡)",운송장비,러시아,2023-03-16
김제,㈜석경에이티,"전라북도 김제시 백산면 부거리 1573(31,078.30㎡)",화학,국내,2023-07-19
김제,㈜알파온,"전라북도 김제시 백산면 부거리 1576-7(18,320.20㎡)",운송장비,국내,2023-08-18
김제,㈜에이치알 이엔아이,"전라북도 김제시 백산면 부거리 1572-1(27,055.30㎡)",운송장비,국내,2023-08-29
,,,,,
,,,,,
