대륙,국적,성별,문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),연수취업(E8),교수(E-1),회화강사(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타(other)
아시아주,튀르키예,여성,0,272,0,145,0,0,1,0,2,11,0,1,3,6,0,0,9,28,0,0,15,58,54,4,204,60,0,0,38
아시아주,홍콩,남성,0,51,0,33,1,4,5,39,5,7,0,6,0,1,0,0,7,41,0,0,8,70,29,41,84,0,1,0,2
아시아주,홍콩,여성,1,423,0,199,0,4,4,18,1,59,0,2,2,2,0,0,3,96,0,0,35,133,39,93,545,0,24,0,8
아시아주,라오스,남성,0,53,0,14,0,0,1,0,0,1,79,0,0,2,0,0,14,0,730,0,24,5,3,0,2,0,0,0,13
아시아주,라오스,여성,0,52,0,46,0,2,0,0,0,2,53,0,0,0,0,0,0,4,52,0,104,9,7,34,592,2,0,0,8
아시아주,시리아,남성,0,8,0,0,0,0,0,82,4,0,0,1,0,0,0,0,0,1,0,0,4,13,87,14,18,859,0,0,4
아시아주,시리아,여성,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120,8,2,372,0,0,3
아시아주,이란,남성,0,104,0,15,0,0,1,4,3,3,0,13,0,102,0,0,2,27,28,0,14,66,46,47,86,49,0,0,46
아시아주,이란,여성,0,178,0,73,0,0,0,1,0,14,0,10,0,42,0,0,7,19,0,0,14,53,115,10,47,16,0,0,31
아시아주,예멘공화국,남성,0,17,0,4,0,0,0,34,13,3,0,0,0,3,0,0,0,3,0,0,3,46,50,8,12,659,0,0,5
아시아주,예멘공화국,여성,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,28,95,1,2,97,0,0,0
아시아주,사우디아라비아,남성,0,31,2,134,0,0,1,58,2,1,0,0,0,2,0,1,0,10,0,0,2,3,106,0,4,1,0,0,168
아시아주,사우디아라비아,여성,0,24,0,46,0,0,0,2,0,1,0,0,0,0,0,0,1,4,0,0,2,1,202,0,1,5,0,0,110
아시아주,아프가니스탄,남성,0,52,0,10,0,0,0,51,2,6,0,0,0,2,0,0,0,3,0,0,1,221,33,4,7,103,0,0,22
