대륙,국적,성별,인천공항,김해공항,김포공항,부  산,울  산,여  수,대  구,제  주,광  양,인  천,평  택,감  천,평택항,무안공항,양양공항,창  원,동  해,서  산,군  산,당  진,포  항,거  제,통  영,목  포,성  남,청  주,제주항,사  천,속  초
유럽주,스페인,남성,8199,99,173,19,9,51,3,14,0,25,2,1,23,0,0,0,0,8,1,0,0,0,0,6,2,0,0,0,0
유럽주,스페인,여성,5551,42,44,1,0,0,1,8,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
유럽주,우크라이나,남성,3105,42,9,3339,736,1240,1,1,708,523,0,192,261,0,0,371,136,55,146,86,62,52,19,57,1,0,2,32,1
유럽주,우크라이나,여성,1228,7,8,0,1,3,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
유럽주,폴란드,남성,6966,73,48,489,77,285,0,3,57,92,0,18,44,0,0,71,15,31,19,6,8,23,33,10,2,0,2,1,0
유럽주,폴란드,여성,3190,30,20,1,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,스위스,남성,4652,73,148,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,스위스,여성,3107,30,33,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,벨기에,남성,4946,43,61,1,5,3,1,3,0,1,0,0,1,0,1,0,40,1,0,0,0,14,0,0,4,0,0,0,0
유럽주,벨기에,여성,2618,17,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
